image_path,url,label
images_train\phishing\storage.googleapis.com-15b655a0b8cfb65a.png,https://storage.googleapis.com/qeszvqdojvhnoeqrvhioervghforzvfsvesqrvqezrg/dcsd+c+z+scde+z+e+c+zsdec++z++rhnfn+try+n+h+n+etq+svd++dfv.html#/1O01010o4605o1zn-5idxnd205c07e0vd43t900001,phishing
images_train\phishing\wellyngtonkuhn.github.io-76fbe139eb358a6e.png,https://wellyngtonkuhn.github.io/instagram/,phishing
images_train\phishing\sites.google.com-485a4a77a9776778.png,https://sites.google.com/view/kisranvodix,phishing
images_train\phishing\www.euro-88.com-2a27f4cc7a7ac377.png,https://www.euro-88.com/sa/?email=,phishing
images_train\phishing\ipfs.io-35a2ea94d2d0bf01.png,https://ipfs.io/ipfs/bafybeihd4d6ym7frh3t3pijxfnkc4is3c5nq2asly6kzepj2ktp4o27gwm,phishing
images_train\phishing\ipfs.io-738abe7a844f6652.png,https://ipfs.io/ipfs/QmRk7A9eJYPC1CjXMZjWojJupJozBC93YAhSzcoyTbnjog,phishing
images_train\phishing\tinyurl.com-82e4404131ee2908.png,https://tinyurl.com/3jpmk678,phishing
images_train\phishing\docs.google.com-3920443f1bf225f7.png,https://docs.google.com/presentation/d/e/2PACX-1vT9pqvlrUGMdiQiExGHFAHdlmgWoslZEfXTeqvWWp3N8U8LTUxVTQRk-MkHDsFHUbnFEi633X7Q0ypL/pub?start=false&amp;loop=false&amp;delayms=3000,phishing
images_train\phishing\jamesfortune619.wixsite.com-a99eb497b69d4f99.png,https://jamesfortune619.wixsite.com/my-site-4?email=jhxbjknjck%40att.net&amp;passw0rd=dajfkdfnk,phishing
images_train\phishing\tinyurl.com-98b9310d07dad059.png,https://tinyurl.com/532da5b9,phishing
images_train\phishing\account-access-view.firebaseapp.com-7db162d1be20e274.png,https://account-access-view.firebaseapp.com/,phishing
images_train\phishing\docs.google.com-b34143396cf9eb85.png,https://docs.google.com/presentation/d/e/2PACX-1vTHBdiAJM83fpWjhozm-55IZN9fs1oJP_NvZDwWtFk3UC_h50JEbK9ywDdXUjqmnupsW6gtW5aTrti_/pub?start=false&amp;loop=false&amp;delayms=3000,phishing
images_train\phishing\document-filereview.myportfolio.com-2d1b734eafb06263.png,https://document-filereview.myportfolio.com/,phishing
images_train\phishing\currentlyattyahoom9.wixsite.com-41f3053b835eacfa.png,https://currentlyattyahoom9.wixsite.com/my-site,phishing
images_train\phishing\att-sign-in-104556.weeblysite.com-fa8642db0779e906.png,https://att-sign-in-104556.weeblysite.com/,phishing
images_train\phishing\tinyurl.com-1ce107d54f414e91.png,https://tinyurl.com/bfwnzvd9,phishing
images_train\phishing\sites.google.com-d16781c8bf485c44.png,https://sites.google.com/0nedrive-0365-folder.network/emm8767?usp=sharing,phishing
images_train\phishing\rcwn0i.webwave.dev-cae42e39c2541b7a.png,https://rcwn0i.webwave.dev/,phishing
images_train\phishing\tinyurl.com-b223240667858daa.png,http://tinyurl.com/Area-Bper,phishing
images_train\phishing\account-authentication-sync.web.app-218035f3eb416126.png,https://account-authentication-sync.web.app/,phishing
images_train\phishing\tinyurl.com-f3bfc8aeff6dd97e.png,https://tinyurl.com/5bny29th,phishing
images_train\phishing\l.linklyhq.com-d2467a9a1cee8840.png,https://l.linklyhq.com/l=/1u7Lf#,phishing
images_train\phishing\2f1uzenyvhtbklpqkvjyga.on.drv.tw-a44d3979ee4c383f.png,https://2f1uzenyvhtbklpqkvjyga.on.drv.tw/www.rislandsair.com/#,phishing
images_train\phishing\43.134.167.94-ae3c5ba4892ec292.png,http://43.134.167.94/v3/signin/identifier?dsh=S1644497512:1679902851319012&amp;followup=https://accounts.google.com/?&amp;ifkv=AQMjQ7RMsFkRvNgg21Bj3gPjz8WvNLx0aBGrElaEqy1YJ7nQlc4vgFH0SYfUpPgbKwiNy9-eMnD2&amp;passive=1209600&amp;xrealip=107.178.200.225&amp;continue=https://accounts.google.com/?&amp;xrealip=80.255.7.107&amp;flowName=GlifWebSignIn&amp;flowEntry=ServiceLogin&amp;ifkv=AQMjQ7T4hIow-bSb8gcj0AiCwMT-fMmvIx8nxFhujLFp1Ieib8hmiYJEg7xqDjgoHvuoktydeqmIPw,phishing
images_train\phishing\is.gd-6e5d6b813195721c.png,https://is.gd/TfMpOJ,phishing
images_train\phishing\pub-f03b29fe78324d6c9841823a156a36b4.r2.dev-c0b6a061aea5e414.png,http://pub-f03b29fe78324d6c9841823a156a36b4.r2.dev/share.html,phishing
images_train\phishing\sites.google.com-c69106d0a1d1d0d5.png,https://sites.google.com/view/gw5y/home,phishing
images_train\phishing\ipfs.io-fd542a33b6916bf3.png,https://ipfs.io/ipfs/QmUxNxoBaCA4cjhN4gCi1rt35wxof5RtJ64svo3YpsyWuL,phishing
