image_path,url,label
images_train\legitimate\www.ebay.com-937a9fc811f34c42.png,https://www.ebay.com/itm/HANS-CONRIED-AUTOGRAPHED-5X7-BULLWINKLE-SNIDELY-WHIPLASH-VOICE-/160667135247,legitimate
images_train\legitimate\www.music.yahoo.com-5dd3eafa03a51760.png,https://www.music.yahoo.com/ella-fitzgerald/,legitimate
images_train\legitimate\www.spvm.qc.ca-4a36745e5cb4c45a.png,https://www.spvm.qc.ca/en/pdq01/index.asp,legitimate
images_train\phishing\kf25zx.com-965967d25cf64a27.png,http://kf25zx.com/images?us.battle.net/login/en/?ref=http://xcqdlhtus.battle.net/d3/en/index&amp;;,phishing
images_train\legitimate\www.123people.co.uk-2656001631d7fa79.png,https://www.123people.co.uk/s/kevin+o%27leary,legitimate
images_train\legitimate\www.metalunderground.com-acf33da40368a736.png,https://www.metalunderground.com/news/details.cfm?newsid=73401,legitimate
images_train\legitimate\www.pioneerbankandtrust.com-f2a04a332f7278e8.png,https://www.pioneerbankandtrust.com/,legitimate
images_train\legitimate\www.discounthockey.com-d7403b51403e26a8.png,https://www.discounthockey.com/ccm-hockey-history-article.html,legitimate
images_train\phishing\www.bancopostaonline.poste.it-logind52ac2jabzzoqixnrgfaivm5pw7w97rdamd89d67.iran-viajes.com-26def36927833c91.png,http://www.bancopostaonline.poste.it-logind52ac2jABZzoQiXnRgFaIvm5pw7w97rdamd89d67.iran-viajes.com/BancoPosteClickd9aawd9d932n3udf7gf983rnajasdh/?user=,phishing
images_train\legitimate\www.lead411.com-4824a9d7468fc487.png,https://www.lead411.com/Frank_Waldo_411881.html,legitimate
images_train\legitimate\www.sovereignbbqs.com-af8f31e6617d7cce.png,https://www.sovereignbbqs.com/,legitimate
images_train\legitimate\www.houseofnames.com-ae68ade7795f4862.png,https://www.houseofnames.com/westover-family-crest,legitimate
images_train\legitimate\www.dedece.com-684b42e1a7399e4c.png,https://www.dedece.com/projects/Lorne-Residence/726,legitimate
images_train\phishing\eclectyx.com-23a0980b86cde963.png,http://eclectyx.com/.https/www/owa.msoutlookonline.net/wsignin/owa/auth/logon.aspx_url_replaceCurrent_owa/index.php?umail=YWNjb3VudGluZ0BhbWVyaWNhbi1wYXJraW5nLmNvbQ0,phishing
images_train\phishing\cndoubleegret.com-f913c4e9eccfb936.png,http://cndoubleegret.com/admin/secure/cmd-login=0b44bbfba88441260c55a2520845580a/?user=3Dsjenk=&amp;reff=NTlkMDIyYzUwYmQ5ZmZlOTZjZmRkNjk0YzRiMTU2MGQ=,phishing
images_train\legitimate\www.mercurynews.com-23a302a5724792ff.png,https://www.mercurynews.com/sjsu-spartans/ci_17904013?source=rss,legitimate
